month,revenue,retention,burn_rate,marketing_spend
2024-01,42000,78,36000,8000
2024-02,44500,79,35500,8200
2024-03,47000,80,35000,8500
2024-04,49200,81,34800,8600
2024-05,51500,82,34600,8800
2024-06,54100,82.5,34200,9000
2024-07,56800,83,33800,9300
2024-08,59400,83.5,33600,9500
2024-09,61800,84,33200,9800
2024-10,64600,84.5,33000,10000
2024-11,67100,85,32700,10300
2024-12,70200,85.5,32400,10600
2025-01,73500,86,32000,11000
2025-02,76100,86.2,31800,11200
2025-03,79000,86.8,31500,11500
2025-04,82600,87.1,31200,11800
2025-05,85900,87.5,30900,12200
2025-06,89400,88,30500,12600
